review_order,review_group_cn,why_review_cn,decision_options_cn,episode_uid,figure_path,v0_3_category_cn,condition_context_cn,condition_level,condition_score_peak,steer_response_strength,steer_onset_relation,response_shape,coordinate_continuity_ok,subject,session_stamp,t_condition_anchor,nearest_old_road_module,current_recommended_use
1,A_先看强响应标尺,先建立真正极限/近极限样本的视觉标尺，后面复核都按这个参照。,保留为极限主样本 / 降为弱或保守响应 / 排除,V03_txj_2025_09_27_09_17_11_0004,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\review_panels\strong_response_V03_txj_2025_09_27_09_17_11_0004.png,强响应型极限工况,低附着,extreme,12.047880991033542,medium,near_sync,sustained_same_side,True,txj,2025_09_27_09_17_11,136.695,curve1,轨迹预测/强响应分析
2,A_先看强响应标尺,先建立真正极限/近极限样本的视觉标尺，后面复核都按这个参照。,保留为极限主样本 / 降为弱或保守响应 / 排除,V03_yzy_2025_09_27_14_26_04_0002,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\review_panels\strong_response_V03_yzy_2025_09_27_14_26_04_0002.png,强响应型极限工况,低附着,extreme,10.9776732776212,medium,before_condition,weak_or_no_clear_steer,True,yzy,2025_09_27_14_26_04,74.618,middle_section,轨迹预测/强响应分析
3,A_先看强响应标尺,先建立真正极限/近极限样本的视觉标尺，后面复核都按这个参照。,保留为极限主样本 / 降为弱或保守响应 / 排除,V03_zt_2025_09_28_11_20_08_0005,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\review_panels\strong_response_V03_zt_2025_09_28_11_20_08_0005.png,强响应型极限工况,低附着,extreme,10.446378253610757,medium,near_sync,countersteer,True,zt,2025_09_28_11_20_08,158.267,curve1,轨迹预测/强响应分析
4,A_先看强响应标尺,先建立真正极限/近极限样本的视觉标尺，后面复核都按这个参照。,保留为极限主样本 / 降为弱或保守响应 / 排除,V03_zx_2025_09_27_17_45_11_0025,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\review_panels\strong_response_V03_zx_2025_09_27_17_45_11_0025.png,强响应型极限工况,弯道/曲率,extreme,10.385754746925874,medium,before_condition,countersteer,True,zx,2025_09_27_17_45_11,594.535,differentmu_road,轨迹预测/强响应分析
5,A_先看强响应标尺,先建立真正极限/近极限样本的视觉标尺，后面复核都按这个参照。,保留为极限主样本 / 降为弱或保守响应 / 排除,V03_byx_2025_09_28_17_46_00_0027,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\review_panels\strong_response_V03_byx_2025_09_28_17_46_00_0027.png,强响应型极限工况,弯道/曲率,extreme,10.217088851892752,strong,near_sync,countersteer,True,byx,2025_09_28_17_46_00,536.165,differentmu_road,轨迹预测/强响应分析
6,A_先看强响应标尺,先建立真正极限/近极限样本的视觉标尺，后面复核都按这个参照。,保留为极限主样本 / 降为弱或保守响应 / 排除,V03_zdq_2025_09_26_16_03_48_0013,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\review_panels\strong_response_V03_zdq_2025_09_26_16_03_48_0013.png,强响应型极限工况,低附着,extreme,9.49372697619953,medium,near_sync,countersteer,True,zdq,2025_09_26_16_03_48,347.17,middle_section,轨迹预测/强响应分析
7,A_先看强响应标尺,先建立真正极限/近极限样本的视觉标尺，后面复核都按这个参照。,保留为极限主样本 / 降为弱或保守响应 / 排除,V03_txj_2025_09_27_09_06_19_0021,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\review_panels\strong_response_V03_txj_2025_09_27_09_06_19_0021.png,强响应型极限工况,低附着,extreme,9.460537461785508,strong,before_condition,sustained_same_side,True,txj,2025_09_27_09_06_19,458.659,middle_section,轨迹预测/强响应分析
8,A_先看强响应标尺,先建立真正极限/近极限样本的视觉标尺，后面复核都按这个参照。,保留为极限主样本 / 降为弱或保守响应 / 排除,V03_gf_2025_09_26_10_18_49_0003,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\review_panels\strong_response_V03_gf_2025_09_26_10_18_49_0003.png,强响应型极限工况,低附着,extreme,9.185082404156285,medium,before_condition,return,True,gf,2025_09_26_10_18_49,88.47,middle_section,轨迹预测/强响应分析
9,A_先看强响应标尺,先建立真正极限/近极限样本的视觉标尺，后面复核都按这个参照。,保留为极限主样本 / 降为弱或保守响应 / 排除,V03_zdq_2025_09_26_15_14_51_0007,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\review_panels\strong_response_V03_zdq_2025_09_26_15_14_51_0007.png,强响应型极限工况,低附着,extreme,8.871541348767499,medium,before_condition,weak_or_no_clear_steer,True,zdq,2025_09_26_15_14_51,251.564,fix_road,轨迹预测/强响应分析
10,A_先看强响应标尺,先建立真正极限/近极限样本的视觉标尺，后面复核都按这个参照。,保留为极限主样本 / 降为弱或保守响应 / 排除,V03_lxy_2025_09_28_17_55_52_0028,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\review_panels\strong_response_V03_lxy_2025_09_28_17_55_52_0028.png,强响应型极限工况,弯道/曲率,extreme,8.799061143390428,medium,near_sync,countersteer,True,lxy,2025_09_28_17_55_52,491.644,differentmu_road,轨迹预测/强响应分析
11,A_先看强响应标尺,先建立真正极限/近极限样本的视觉标尺，后面复核都按这个参照。,保留为极限主样本 / 降为弱或保守响应 / 排除,V03_txj_2025_09_27_09_06_19_0015,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\review_panels\strong_response_V03_txj_2025_09_27_09_06_19_0015.png,强响应型极限工况,弯道/曲率,extreme,8.654421885291924,medium,before_condition,sustained_same_side,True,txj,2025_09_27_09_06_19,302.85,middle_section,轨迹预测/强响应分析
12,A_先看强响应标尺,先建立真正极限/近极限样本的视觉标尺，后面复核都按这个参照。,保留为极限主样本 / 降为弱或保守响应 / 排除,V03_txj_2025_09_27_09_17_11_0005,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\review_panels\strong_response_V03_txj_2025_09_27_09_17_11_0005.png,强响应型极限工况,弯道/曲率,extreme,8.237332708117306,strong,near_sync,return,True,txj,2025_09_27_09_17_11,158.181,curve1,轨迹预测/强响应分析
13,B_重点看横滚姿态候选,这批是最值得抢救的 excluded：模型物理指标提示它可能包含真正极限姿态样本，但坐标或窗口规则曾把它排除。,升级为极限姿态主样本 / 放入风险候选池 / 维持排除,V03_gf_2025_09_26_10_52_57_0004,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\review_panels\excluded_V03_gf_2025_09_26_10_52_57_0004.png,排除样本,低附着,extreme,13.0,none,none,weak_or_no_clear_steer,False,gf,2025_09_26_10_52_57,135.844,curve1,排除
14,B_重点看横滚姿态候选,这批是最值得抢救的 excluded：模型物理指标提示它可能包含真正极限姿态样本，但坐标或窗口规则曾把它排除。,升级为极限姿态主样本 / 放入风险候选池 / 维持排除,V03_rjy_2025_09_28_19_44_42_0004,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\review_panels\excluded_V03_rjy_2025_09_28_19_44_42_0004.png,排除样本,低附着,extreme,12.484647629069675,medium,after_condition,return,False,rjy,2025_09_28_19_44_42,133.963,curve1,排除
15,B_重点看横滚姿态候选,这批是最值得抢救的 excluded：模型物理指标提示它可能包含真正极限姿态样本，但坐标或窗口规则曾把它排除。,升级为极限姿态主样本 / 放入风险候选池 / 维持排除,V03_xst_2025_09_26_11_34_18_0003,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\review_panels\excluded_V03_xst_2025_09_26_11_34_18_0003.png,排除样本,低附着,extreme,12.47938560507811,none,none,return,False,xst,2025_09_26_11_34_18,92.46,longstraight,排除
16,B_重点看横滚姿态候选,这批是最值得抢救的 excluded：模型物理指标提示它可能包含真正极限姿态样本，但坐标或窗口规则曾把它排除。,升级为极限姿态主样本 / 放入风险候选池 / 维持排除,V03_zdq_2025_09_26_15_27_09_0007,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\review_panels\excluded_V03_zdq_2025_09_26_15_27_09_0007.png,排除样本,低附着,extreme,12.45827942722152,weak,after_condition,countersteer,False,zdq,2025_09_26_15_27_09,125.225,curve1,排除
17,B_重点看横滚姿态候选,这批是最值得抢救的 excluded：模型物理指标提示它可能包含真正极限姿态样本，但坐标或窗口规则曾把它排除。,升级为极限姿态主样本 / 放入风险候选池 / 维持排除,V03_yyl_2025_09_28_09_49_11_0004,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\review_panels\excluded_V03_yyl_2025_09_28_09_49_11_0004.png,排除样本,低附着,extreme,12.373703361419032,medium,after_condition,sustained_same_side,False,yyl,2025_09_28_09_49_11,135.271,curve1,排除
18,B_重点看横滚姿态候选,这批是最值得抢救的 excluded：模型物理指标提示它可能包含真正极限姿态样本，但坐标或窗口规则曾把它排除。,升级为极限姿态主样本 / 放入风险候选池 / 维持排除,V03_zdq_2025_09_26_16_03_48_0005,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\review_panels\excluded_V03_zdq_2025_09_26_16_03_48_0005.png,排除样本,低附着,extreme,11.895850838554187,weak,after_condition,sustained_same_side,False,zdq,2025_09_26_16_03_48,136.495,curve1,排除
19,B_重点看横滚姿态候选,这批是最值得抢救的 excluded：模型物理指标提示它可能包含真正极限姿态样本，但坐标或窗口规则曾把它排除。,升级为极限姿态主样本 / 放入风险候选池 / 维持排除,V03_yzy_2025_09_27_14_26_04_0029,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\review_panels\excluded_V03_yzy_2025_09_27_14_26_04_0029.png,排除样本,弯道/曲率,extreme,11.826859786350475,strong,near_sync,countersteer,False,yzy,2025_09_27_14_26_04,592.093,differentmu_road,排除
20,B_重点看横滚姿态候选,这批是最值得抢救的 excluded：模型物理指标提示它可能包含真正极限姿态样本，但坐标或窗口规则曾把它排除。,升级为极限姿态主样本 / 放入风险候选池 / 维持排除,V03_gzj_2025_09_27_12_17_12_0011,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\review_panels\excluded_V03_gzj_2025_09_27_12_17_12_0011.png,排除样本,低附着,extreme,11.805257261721874,weak,near_sync,weak_or_no_clear_steer,False,gzj,2025_09_27_12_17_12,254.809,fix_road,排除
21,B_重点看横滚姿态候选,这批是最值得抢救的 excluded：模型物理指标提示它可能包含真正极限姿态样本，但坐标或窗口规则曾把它排除。,升级为极限姿态主样本 / 放入风险候选池 / 维持排除,V03_zdq_2025_09_26_15_27_09_0015,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\review_panels\excluded_V03_zdq_2025_09_26_15_27_09_0015.png,排除样本,弯道/曲率,extreme,11.779503255992408,weak,after_condition,return,False,zdq,2025_09_26_15_27_09,278.69,middle_section,排除
22,B_重点看横滚姿态候选,这批是最值得抢救的 excluded：模型物理指标提示它可能包含真正极限姿态样本，但坐标或窗口规则曾把它排除。,升级为极限姿态主样本 / 放入风险候选池 / 维持排除,V03_rjy_2025_09_28_19_33_26_0021,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\review_panels\excluded_V03_rjy_2025_09_28_19_33_26_0021.png,排除样本,弯道/曲率,extreme,11.6618349898316,weak,after_condition,weak_or_no_clear_steer,False,rjy,2025_09_28_19_33_26,628.25,differentmu_road,排除
23,B_重点看横滚姿态候选,这批是最值得抢救的 excluded：模型物理指标提示它可能包含真正极限姿态样本，但坐标或窗口规则曾把它排除。,升级为极限姿态主样本 / 放入风险候选池 / 维持排除,V03_yyl_2025_09_28_09_29_01_0023,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\review_panels\excluded_V03_yyl_2025_09_28_09_29_01_0023.png,排除样本,弯道/曲率,extreme,11.625476357417687,weak,before_condition,countersteer,False,yyl,2025_09_28_09_29_01,552.791,differentmu_road,排除
