model_name,display_name,source_group,decision,continue_priority,rmse_steer,wrong_side_rate,large_response_recall,severe_amp_under_rate,reversal_count_exact_match_rate,multi_segment_rate_abs_gap,rmse_improvement_pct_vs_formal,decision_note_cn
zero_response_hold_current,zero hold,no_learning,reference,low,0.6835137112523157,0.4820143884892086,0.0,1.0,0.0647482014388489,0.6762589928057554,-5.26261020748303,无学习下界，只作参照。
history_trend_500ms,history trend,no_learning,reference,low,1.0738922090505882,0.762589928057554,0.64,0.1294964028776978,0.0647482014388489,0.6762589928057554,-65.38175481371805,无学习趋势外推，尾段和错侧风险高，只作参照。
train_mean_all,train mean,no_learning,reference,low,0.6857890778260216,0.5179856115107914,0.0,0.9424460431654677,0.2589928057553957,0.6762589928057554,-5.613021648810682,训练集平均轨迹，证明平均化响应的下界。
train_mean_by_event_type,event mean,no_learning,reference,low,0.6772120012806363,0.4316546762589928,0.0,0.9136690647482014,0.0863309352517985,0.30935251798561153,-4.292133054692402,按事件类型平均，仍不能代表个体响应。
ridge_vehicle_history_no_subject,ridge history,formal_linear,reference,low,0.707027493033099,0.2877697841726618,0.12,0.5107913669064749,0.079136690647482,0.30935251798561136,-8.883784158126314,浅层车辆历史基线，保留为线性参照。
formal_ridge_vehicle_context_no_subject,formal ridge,formal_linear,keep_as_formal_reference,required,0.6493414042317994,0.2302158273381295,0.08,0.5827338129496403,0.0935251798561151,0.27338129496402874,0.0,正式 shallow vehicle baseline，是当前所有车辆模型的最低公平参照。
active_legacy_best,old vehicle_direct active,old_vehicle_direct_clean,old_flow_reference_only,medium,0.637365657549946,0.1294964028776978,0.1428571428571428,0.6834532374100719,0.0863309352517985,0.6402877697841727,1.8442912470707566,旧代码 clean vehicle-only 历史对照，使用旧架构，不作为新流程主线。
structure_best,old vehicle_direct structure,old_vehicle_direct_clean,old_flow_reference_only,medium,0.6477202086448643,0.1438848920863309,0.2,0.5611510791366906,0.0575539568345323,0.05755395683453235,0.24966767502728773,旧代码结构 checkpoint 历史对照，可看物理指标但不继承旧流程假设。
ridge_rich_history_no_subject,rich ridge history,strong_vehicle_diagnostic,not_selected_currently,low,0.6806830827493696,0.2446043165467626,0.16,0.3741007194244604,0.0575539568345323,0.3237410071942446,-4.82668721158307,丰富车辆历史线性模型，没有超过强候选，不作为主线。
ridge_rich_context_no_subject,rich ridge context,strong_vehicle_diagnostic,not_selected_currently,low,0.6529413251569676,0.1798561151079136,0.24,0.3309352517985611,0.0359712230215827,0.3237410071942446,-0.5543957156754873,丰富车辆上下文线性模型，方向指标尚可但 RMSE 不优。
rbf_kernel_ridge_context_no_subject,RBF KRR,strong_vehicle_diagnostic,strong_diagnostic_candidate_needs_controls,high,0.5402869535087953,0.2158273381294964,0.6,0.2517985611510791,0.0431654676258992,0.20143884892086328,16.79462452452428,非参数强候选，RMSE 和大幅召回好，但反向修正匹配很差，需稳健性验证。
knn_template_context_no_subject,KNN template,template_memory_risk,diagnostic_upper_bound_memory_risk,medium,0.5169408972350654,0.1726618705035971,0.52,0.2446043165467626,0.0071942446043165,0.3165467625899282,20.389968379325797,test RMSE 最低，但 train RMSE 近 0，模板记忆风险高，暂作诊断上限。
direction_gated_knn_template_no_subject,direction-gated KNN,template_memory_risk,diagnostic_upper_bound_memory_risk,medium,0.5795806716519325,0.2086330935251798,0.64,0.0719424460431654,0.1294964028776978,0.30935251798561136,10.743305774933152,KNN 变体，仍有模板记忆风险，暂作诊断。
peak_scaled_template_context_no_subject,peak-scaled template,template_memory_risk,diagnostic_upper_bound_memory_risk,medium,0.5550550646919509,0.2086330935251798,0.6,0.079136690647482,0.0935251798561151,0.251798561151079,14.520303021704523,模板缩放候选，幅值指标好但仍需检查物理错误。
vehicle_transformer_context_no_subject,vehicle Transformer,true_vehicle_transformer,true_transformer_candidate_needs_structured_fix,high,0.5671624648735801,0.1798561151079136,0.44,0.2661870503597122,0.2014388489208633,0.6762589928057554,12.655736847004349,真正车辆-only Transformer，强于 formal ridge，但多段修正预测为 0，需继续结构化改进。
